str,coefficients_1,coefficients_2
pon2_s4c3,0.746430596189928,3.46049360093938
pon1_s4c3,0.747277049258855,3.5944796066624
pon0_s4c3,0.695062163511061,3.61737208790685
pon4_s4c3,0.129475970848145,5.11316175488559
pon3_s4c3,0.455338416680244,4.4838522730386
pon2_s4c2,0.699352950980616,3.47669363271495
pon1_s4c2,0.78918447050738,3.53767507349654
pon0_s4c2,0.193260540059861,4.61949842259374
pon4_s4c2,0.234666317601702,4.744287698184
pon3_s4c2,-0.0681516488667843,5.79518991402301
pon2_s4c1,0.67583216446558,3.46074665014536
pon1_s4c1,0.735767787358486,3.53637538749801
pon0_s4c1,0.675847919311653,3.97750529322028
pon4_s4c1,0.0967026903404384,5.58869501104605
pon3_s4c1,0.163820500223754,4.57860251534629
