str,coefficients_1,coefficients_2
pon2_s3c3,0.763902723045749,3.5352974117815
pon1_s3c3,0.742191824718614,3.61396098288511
pon0_s3c3,0.228311181187995,4.64259551991601
pon4_s3c3,0.675393715205655,3.92946736313068
pon3_s3c3,0.538985810594578,4.38926743281812
pon2_s3c2,0.75886970180107,3.51588626309406
pon1_s3c2,0.719391943583073,3.60566115364097
pon0_s3c2,0.23538328965635,4.56527328539898
pon4_s3c2,0.0440530308725806,5.30907485885558
pon3_s3c2,0.119289627878655,5.52181619512811
pon2_s3c1,0.784084321198583,3.47610902448097
pon1_s3c1,0.730375938787781,3.56912340815848
pon0_s3c1,0.465119980934639,4.10226615865198
pon4_s3c1,0.188582312767596,5.11288788219831
pon3_s3c1,0.492038839536543,4.33170401885912
