LeftPupilSize	RightPupilSize	SystemTimeStamp	L_X	L_Y	R_X	R_Y
4.27	4.22	1724574165479	970.4	435.4	885.9	471.3
4.24	4.19	1724574165489	970.5	434.7	885.8	472.3
4.22	4.17	1724574165501	967.2	430.4	884.2	473.6
4.2	4.14	1724574165512	967.1	428.0	883.7	472.8
4.16	4.11	1724574165523	967.6	429.0	886.3	472.3
4.12	4.09	1724574165533	966.6	428.6	879.6	477.0
4.1	4.06	1724574165545	966.3	428.4	882.2	476.3
4.07	4.03	1724574165556	965.3	428.3	881.6	476.8
4.04	3.99	1724574165567	964.6	427.3	888.1	474.6
4.02	3.96	1724574165578	965.1	427.9	886.4	477.0
3.98	3.93	1724574165589	963.3	426.6	885.5	478.7
3.94	3.9	1724574165601	961.5	427.3	883.9	477.3
3.91	3.87	1724574165612	961.0	427.6	883.9	475.6
3.88	3.85	1724574165622	961.6	427.2	883.5	477.5
3.85	3.82	1724574165634	957.9	428.7	883.0	480.1
3.83	3.81	1724574165645	960.9	427.3	881.2	482.7
3.81	3.78	1724574165656	960.3	427.5	882.2	480.2
3.79	3.76	1724574165667	963.1	426.4	880.9	484.4
3.77	3.74	1724574165679	963.0	425.8	882.7	485.5
3.75	3.72	1724574165690	965.2	429.6	886.8	487.8
3.72	3.7	1724574165701	1004.1	435.8	923.1	503.9
3.7	3.66	1724574165712	1039.9	455.4	960.4	525.6
3.68	3.63	1724574165722	1074.5	470.0	992.3	547.5
3.66	3.61	1724574165734	1091.7	479.9	999.9	558.3
3.64	3.6	1724574165745	1095.0	479.9	997.4	560.0
3.63	3.58	1724574165755	1096.8	479.5	998.2	560.4
3.61	3.57	1724574165768	1094.9	480.0	995.0	559.4
3.6	3.56	1724574165779	1094.8	476.5	996.5	556.3
3.58	3.55	1724574165790	1095.2	475.1	997.2	555.0
3.56	3.54	1724574165801	1090.9	470.3	999.3	550.8
3.56	3.53	1724574165812	1090.4	469.2	1000.6	544.9
3.55	3.53	1724574165823	1089.9	472.0	1000.0	544.9
3.55	3.52	1724574165834	1094.2	478.8	1002.9	540.8
3.54	3.52	1724574165845	1094.1	478.6	1001.9	539.6
3.54	3.51	1724574165856	1096.3	477.6	1001.4	540.4
3.54	3.51	1724574165867	1096.6	476.4	999.6	542.9
3.53	3.51	1724574165878	1097.5	476.3	1004.7	543.2
3.53	3.5	1724574165889	1094.6	476.3	1006.4	542.6
3.51	3.5	1724574165901	1092.8	473.3	1003.5	545.2
3.51	3.49	1724574165911	1091.9	477.0	1004.3	547.1
3.51	3.49	1724574165922	1094.4	477.7	1003.0	544.8
3.52	3.49	1724574165934	1096.0	480.7	1005.7	543.0
3.53	3.49	1724574165945	1095.6	482.4	1002.1	543.4
3.53	3.5	1724574165956	1096.1	481.2	1003.4	540.8
3.53	3.5	1724574165967	1098.0	475.6	1005.3	538.9
3.53	3.5	1724574165979	1099.7	474.0	1006.3	539.3
3.54	3.51	1724574165989	1101.3	472.6	1005.2	539.3
3.55	3.52	1724574166001	1075.9	492.5	989.6	555.2
3.55	3.54	1724574166011	1047.7	522.4	961.2	586.8
3.56	3.55	1724574166022	1014.9	562.6	927.0	624.9
3.57	3.57	1724574166034	995.5	594.2	903.6	652.4
3.59	3.58	1724574166045	994.8	610.1	903.5	662.9
3.58	3.59	1724574166055	993.3	611.9	905.6	665.1
3.59	3.6	1724574166067	994.7	614.7	904.5	669.2
3.6	3.61	1724574166078	990.5	610.4	902.8	665.7
3.61	3.62	1724574166089	995.3	607.9	904.4	668.8
3.62	3.63	1724574166100	998.4	606.3	902.0	666.3
3.63	3.64	1724574166111	998.0	603.0	900.3	662.7
3.64	3.66	1724574166122	998.1	602.6	899.6	661.5
3.66	3.67	1724574166133	997.9	601.7	902.9	657.1
3.68	3.68	1724574166145	998.9	604.9	902.6	659.6
3.69	3.7	1724574166155	999.6	604.8	903.1	658.9
3.72	3.71	1724574166167	1001.6	607.4	905.6	660.9
3.73	3.73	1724574166178	1003.7	607.4	906.8	669.6
3.74	3.75	1724574166189	1003.6	605.2	908.5	667.4
3.76	3.77	1724574166200	1007.4	603.0	905.2	664.0
3.77	3.79	1724574166211	1008.3	604.2	905.2	660.7
3.79	3.8	1724574166222	1008.3	605.9	905.2	661.6
3.81	3.82	1724574166234	1006.8	603.0	905.1	664.5
3.83	3.83	1724574166245	1004.7	604.5	905.1	664.8
3.84	3.85	1724574166255	1003.6	604.9	905.6	664.7
3.86	3.86	1724574166266	1002.8	605.4	906.2	664.0
3.87	3.86	1724574166278	1004.5	604.0	908.1	663.3
3.89	3.88	1724574166289	1003.1	604.9	906.3	664.7
3.9	3.89	1724574166300	1000.1	608.7	908.6	665.1
3.91	3.9	1724574166311	1001.4	606.7	908.2	670.0
3.94	3.91	1724574166322	1000.7	607.8	906.9	670.8
3.94	3.92	1724574166333	995.4	616.3	905.6	671.1
3.96	3.94	1724574166345	990.3	620.3	903.0	664.7
3.96	3.95	1724574166355	990.4	620.1	903.3	664.7
3.98	3.96	1724574166367	989.2	621.8	904.7	663.3
4.0	3.97	1724574166378	991.2	620.2	903.7	660.4
4.01	3.98	1724574166388	988.6	619.4	903.9	661.8
4.02	3.98	1724574166400	992.1	618.6	903.0	663.8
4.02	3.99	1724574166411	995.5	619.7	904.7	668.6
4.03	4.0	1724574166422	994.9	619.6	902.9	667.9
4.03	4.01	1724574166433	995.5	619.8	902.5	669.0
4.04	4.03	1724574166452	997.7	621.9	901.9	670.6
4.05	4.04	1724574166455	1000.1	619.4	902.5	669.8
4.06	4.05	1724574166466	1004.0	617.0	901.3	669.0
4.06	4.05	1724574166478	1004.7	615.6	899.7	671.4
4.06	4.05	1724574166489	1003.2	618.1	900.8	669.8
4.05	4.04	1724574166501	1004.5	614.4	899.8	670.0
4.05	4.03	1724574166512	1003.1	613.6	900.5	671.9
4.03	4.01	1724574166523	1004.6	612.3	900.1	672.7
4.02	3.99	1724574166534	1004.2	612.0	901.9	673.8
3.99	3.97	1724574166545	1009.1	605.1	914.6	661.5
3.98	3.96	1724574166555	1036.9	580.7	946.8	635.0
3.94	3.93	1724574166566	1068.6	521.2	986.2	574.1
3.91	3.89	1724574166577	1091.9	466.4	1007.8	517.9
3.87	3.85	1724574166588	1106.9	427.7	1007.8	485.6
3.85	3.82	1724574166600	1105.3	424.2	1004.0	480.1
3.82	3.79	1724574166611	1103.9	424.7	1002.3	491.0
3.8	3.75	1724574166622	1102.3	426.9	1003.6	494.0
3.77	3.73	1724574166633	1100.9	428.2	1002.9	493.7
3.75	3.7	1724574166644	1101.7	428.1	1005.1	488.2
3.72	3.68	1724574166656	1100.8	426.5	1004.3	485.5
3.7	3.66	1724574166667	1106.0	424.7	1004.1	484.4
3.69	3.64	1724574166678	1105.9	424.2	1005.3	480.8
3.67	3.63	1724574166688	1104.9	423.5	1006.6	481.2
3.66	3.61	1724574166699	1101.6	426.9	1010.3	482.4
3.64	3.59	1724574166711	1102.8	429.7	1011.3	478.2
3.64	3.58	1724574166722	1103.6	430.0	1010.7	476.9
3.62	3.57	1724574166734	1108.6	424.5	1011.4	473.7
3.61	3.57	1724574166744	1106.2	423.2	1011.1	473.4
3.6	3.56	1724574166755	1104.0	423.7	1010.9	475.4
3.59	3.54	1724574166766	1098.3	427.1	1002.5	477.4
3.59	3.54	1724574166778	1080.1	435.5	978.5	491.4
3.58	3.53	1724574166789	1062.1	445.9	959.4	503.6
