LeftPupilSize	RightPupilSize	SystemTimeStamp	L_X	L_Y	R_X	R_Y
3.11	3.16	1724667255781	1104.1	422.5	1130.9	423.5
3.13	3.16	1724667255793	1105.9	421.2	1130.3	423.8
3.14	3.17	1724667255804	1112.8	419.3	1126.0	421.7
3.14	3.18	1724667255814	1113.3	422.8	1126.5	420.4
3.16	3.2	1724667255826	1116.4	420.4	1126.4	415.3
3.16	3.21	1724667255837	1112.3	420.1	1129.7	416.8
3.16	3.21	1724667255848	1111.7	421.1	1130.2	417.0
3.18	3.21	1724667255859	1112.5	415.9	1130.2	420.5
3.21	3.24	1724667255870	1110.9	414.0	1128.2	417.4
3.21	3.25	1724667255881	1106.7	416.2	1127.3	420.8
3.19	3.26	1724667255892	1111.9	432.1	1124.1	425.9
2.97	3.23	1724667255903	1155.9	478.6	1118.2	437.8
2.93	3.29	1724667255913	1188.0	492.5	1114.6	445.6
3.06	2.38	1724667256114	1312.0	552.6	1432.1	601.2
3.06	3.17	1724667256125	1312.0	552.6	1349.6	490.2
3.56	3.34	1724667256137	1297.9	417.4	1325.4	467.9
3.52	3.44	1724667256148	1287.3	412.1	1294.1	471.1
3.57	3.45	1724667256159	1280.3	399.8	1281.6	483.0
3.63	3.5	1724667256170	1268.5	382.2	1274.5	473.5
3.62	3.58	1724667256181	1265.0	387.4	1276.4	441.8
3.63	3.61	1724667256192	1257.8	380.2	1280.0	420.8
3.66	3.62	1724667256203	1261.0	373.5	1279.4	416.9
3.67	3.65	1724667256215	1262.5	376.4	1280.8	407.2
3.68	3.65	1724667256225	1271.1	377.0	1278.7	406.7
3.62	3.66	1724667256237	1268.7	392.8	1278.6	406.5
3.63	3.68	1724667256248	1265.3	395.1	1276.4	408.0
3.62	3.68	1724667256258	1265.5	401.3	1277.2	409.0
3.62	3.69	1724667256270	1264.2	407.2	1280.3	406.6
3.63	3.7	1724667256281	1263.1	408.2	1275.7	409.1
3.64	3.7	1724667256292	1254.7	415.2	1269.3	410.0
3.63	3.7	1724667256303	1257.5	421.2	1261.3	418.4
3.64	3.71	1724667256314	1256.9	423.3	1260.7	420.7
3.67	3.72	1724667256326	1251.6	413.3	1263.2	421.2
3.7	3.73	1724667256336	1240.1	403.0	1261.0	414.7
3.71	3.74	1724667256346	1235.4	408.6	1259.4	419.9
3.71	3.74	1724667256359	1235.1	409.8	1255.0	428.6
3.72	3.71	1724667256370	1238.0	411.2	1261.5	442.4
3.72	3.7	1724667256381	1236.4	415.7	1259.4	449.5
3.71	3.71	1724667256392	1237.2	420.2	1263.1	447.8
3.71	3.75	1724667256404	1235.2	423.5	1255.2	449.6
3.7	3.74	1724667256414	1233.4	426.3	1252.2	457.5
3.73	3.79	1724667256425	1229.3	424.2	1248.6	436.4
3.74	3.79	1724667256437	1235.4	422.8	1247.0	433.8
3.75	3.79	1724667256448	1235.5	418.1	1244.9	434.9
3.8	3.77	1724667256459	1246.5	411.5	1246.6	448.2
3.81	3.78	1724667256477	1245.1	408.1	1246.5	447.0
3.8	3.79	1724667256481	1244.5	411.3	1245.6	447.0
3.77	3.78	1724667256493	1236.0	415.8	1245.9	456.8
3.79	3.77	1724667256504	1234.3	416.4	1244.6	458.9
3.8	3.78	1724667256514	1233.3	413.5	1243.5	455.9
3.82	3.78	1724667256526	1233.6	401.6	1238.5	452.5
3.82	3.82	1724667256536	1233.1	406.5	1239.1	446.7
3.81	3.83	1724667256547	1231.4	410.2	1238.2	444.3
3.78	3.83	1724667256559	1228.9	428.9	1238.0	450.1
3.78	3.81	1724667256570	1220.2	427.3	1241.5	455.1
3.79	3.81	1724667256581	1219.9	429.2	1241.9	454.9
3.8	3.81	1724667256592	1220.0	429.0	1240.3	454.8
3.81	3.83	1724667256603	1219.9	424.6	1238.9	453.4
3.82	3.83	1724667256614	1219.0	423.1	1237.8	453.7
3.83	3.84	1724667256626	1221.4	420.8	1236.7	453.1
3.83	3.87	1724667256636	1223.3	420.8	1235.1	447.2
3.83	3.87	1724667256646	1224.5	421.6	1234.2	447.9
3.9	3.89	1724667256659	1241.3	413.0	1236.6	443.4
3.9	3.87	1724667256670	1241.1	415.5	1236.2	450.8
3.9	3.86	1724667256681	1239.2	413.6	1237.1	455.1
3.85	3.87	1724667256692	1224.8	428.4	1237.1	464.3
3.86	3.88	1724667256703	1218.2	440.4	1218.3	476.0
3.87	3.89	1724667256714	1209.0	460.8	1203.7	495.7
3.85	3.87	1724667256725	1189.0	487.0	1189.3	510.4
3.84	3.86	1724667256737	1188.2	490.7	1194.2	513.4
3.84	3.87	1724667256747	1189.5	491.9	1193.7	513.2
3.94	3.88	1724667256759	1215.4	483.6	1195.3	509.0
3.93	3.88	1724667256770	1212.5	493.1	1193.3	512.5
3.92	3.88	1724667256780	1210.6	497.4	1193.4	512.3
3.84	3.89	1724667256792	1186.4	493.8	1195.7	511.5
3.85	3.91	1724667256803	1187.9	488.7	1191.5	513.3
3.85	3.9	1724667256814	1187.2	486.1	1189.9	513.4
4.07	3.88	1724667256826	1239.3	486.9	1185.0	522.1
4.09	3.87	1724667256837	1237.9	486.4	1186.5	525.2
4.09	3.87	1724667256848	1237.3	484.4	1187.5	523.8
3.93	3.88	1724667256859	1194.2	472.8	1187.9	521.5
3.92	3.89	1724667256870	1195.1	472.2	1187.5	521.5
3.92	3.89	1724667256881	1194.6	475.6	1187.0	521.4
3.85	3.9	1724667256892	1185.0	493.7	1186.6	521.7
3.86	3.9	1724667256903	1187.0	495.0	1186.0	520.7
3.85	3.9	1724667256914	1187.2	492.9	1184.3	521.9
3.94	3.88	1724667256925	1207.9	471.4	1185.5	518.3
3.92	3.86	1724667256936	1204.0	467.5	1185.3	515.7
3.9	3.84	1724667256946	1204.3	469.6	1184.9	514.1
3.83	3.82	1724667256958	1202.7	475.3	1183.5	511.3
3.75	3.78	1724667256969	1200.1	496.4	1187.2	509.5
3.72	3.75	1724667256980	1200.0	498.6	1187.7	505.5
3.65	3.71	1724667256992	1186.2	498.0	1188.7	506.7
3.62	3.68	1724667257002	1190.2	495.7	1186.8	504.2
3.59	3.64	1724667257014	1187.8	495.0	1186.7	504.1
3.7	3.62	1724667257025	1229.1	497.0	1185.6	501.6
