LeftPupilSize	RightPupilSize	SystemTimeStamp	L_X	L_Y	R_X	R_Y
2.35	2.32	1724636040213	886.3	586.5	920.1	571.7
2.36	2.32	1724636040224	886.5	580.1	919.3	572.9
2.37	2.32	1724636040236	889.8	578.2	922.1	571.6
2.36	2.33	1724636040247	888.9	573.9	922.0	572.4
2.36	2.33	1724636040257	888.0	578.6	922.3	574.5
2.37	2.33	1724636040269	882.0	585.1	921.0	575.0
2.37	2.34	1724636040280	883.2	588.1	923.1	574.9
2.38	2.34	1724636040291	883.7	584.0	923.0	574.5
2.37	2.34	1724636040302	887.7	583.5	923.0	576.3
2.39	2.35	1724636040314	886.6	585.4	920.5	580.2
2.39	2.35	1724636040324	885.1	587.2	919.3	578.3
2.4	2.35	1724636040335	882.4	582.4	924.8	578.2
2.38	2.35	1724636040347	882.8	583.4	926.6	574.7
2.38	2.35	1724636040357	884.7	584.2	927.4	577.3
2.39	2.35	1724636040369	886.9	585.9	923.7	578.4
2.4	2.35	1724636040380	885.2	584.8	923.5	580.8
2.4	2.36	1724636040391	886.3	585.4	925.2	580.2
2.4	2.37	1724636040402	887.7	584.9	927.9	578.9
2.42	2.36	1724636040413	889.2	585.6	927.7	577.4
2.4	2.36	1724636040424	886.4	583.9	926.6	575.5
2.41	2.36	1724636040435	884.6	589.0	926.8	576.9
2.42	2.36	1724636040447	881.7	589.7	927.1	575.1
2.43	2.36	1724636040457	880.7	592.1	927.7	576.8
2.42	2.37	1724636040469	883.1	589.8	926.1	577.2
2.41	2.37	1724636040480	884.2	584.9	926.9	578.9
2.4	2.36	1724636040491	890.5	582.8	933.1	579.2
2.41	2.36	1724636040503	928.1	569.0	978.6	562.7
2.41	2.37	1724636040514	975.1	547.2	1040.9	535.1
2.43	2.36	1724636040524	1014.6	524.3	1080.4	509.7
2.43	2.36	1724636040535	1042.2	508.3	1095.4	490.5
2.44	2.36	1724636040547	1047.4	498.9	1100.5	484.4
2.44	2.35	1724636040557	1047.1	500.7	1096.6	485.9
2.42	2.35	1724636040569	1044.7	491.5	1095.2	486.6
2.4	2.35	1724636040581	1047.7	490.9	1091.6	487.2
2.4	2.35	1724636040591	1049.9	496.0	1091.6	487.3
2.41	2.35	1724636040602	1052.6	497.5	1093.7	486.4
2.42	2.34	1724636040613	1051.4	502.3	1094.2	487.8
2.42	2.34	1724636040624	1051.3	500.3	1096.2	488.2
2.43	2.34	1724636040635	1050.4	504.9	1096.1	489.1
2.43	2.34	1724636040646	1050.4	505.1	1097.1	494.4
2.42	2.34	1724636040657	1049.0	505.2	1096.6	492.3
2.41	2.34	1724636040669	1051.1	504.5	1095.7	491.5
2.41	2.35	1724636040680	1051.5	500.9	1092.9	488.4
2.42	2.35	1724636040691	1051.3	499.5	1092.1	489.8
2.44	2.35	1724636040703	1053.9	491.9	1102.5	487.0
2.45	2.36	1724636040713	1070.7	475.4	1126.6	466.3
2.45	2.36	1724636040725	1091.2	452.8	1146.3	445.6
2.46	2.38	1724636040736	1125.4	426.1	1167.8	419.5
2.48	2.38	1724636040747	1134.3	418.3	1178.6	412.0
2.47	2.39	1724636040757	1136.8	418.1	1177.4	411.4
2.48	2.38	1724636040768	1129.6	421.2	1175.3	410.9
2.48	2.38	1724636040780	1134.8	424.5	1173.4	409.2
2.48	2.38	1724636040791	1135.2	423.1	1176.3	411.8
2.48	2.38	1724636040802	1135.0	424.6	1177.6	411.7
2.48	2.38	1724636040813	1132.1	427.2	1177.6	410.1
2.48	2.38	1724636040824	1132.6	427.2	1177.6	410.0
2.48	2.39	1724636040836	1133.4	424.9	1177.9	411.4
2.47	2.39	1724636040847	1130.1	426.2	1175.3	413.5
2.47	2.38	1724636040857	1128.8	427.0	1174.1	413.6
2.48	2.38	1724636040868	1129.3	428.0	1172.7	414.0
2.48	2.38	1724636040880	1135.0	424.5	1172.5	411.2
