LeftPupilSize	RightPupilSize	SystemTimeStamp	L_X	L_Y	R_X	R_Y
2.47	2.42	1724636993109	1134.7	358.9	1169.4	353.5
2.48	2.42	1724636993119	1135.3	359.4	1171.0	351.5
2.48	2.41	1724636993130	1134.9	360.7	1172.7	350.4
2.48	2.41	1724636993142	1135.1	361.7	1169.8	350.6
2.48	2.4	1724636993153	1133.5	363.7	1168.3	351.4
2.47	2.41	1724636993164	1134.1	363.0	1167.4	351.5
2.48	2.41	1724636993175	1132.6	363.1	1167.1	352.0
2.48	2.41	1724636993186	1135.3	365.2	1168.9	350.7
2.49	2.42	1724636993198	1133.6	364.8	1166.4	352.4
2.48	2.42	1724636993209	1135.3	364.0	1168.3	353.2
2.48	2.43	1724636993219	1135.7	362.0	1166.9	352.9
2.5	2.43	1724636993230	1135.7	363.4	1169.7	352.1
2.5	2.43	1724636993242	1134.7	363.8	1168.8	349.5
2.51	2.44	1724636993254	1131.1	366.5	1167.7	349.4
2.51	2.45	1724636993264	1131.9	365.1	1166.5	347.2
2.51	2.45	1724636993275	1131.7	364.1	1165.3	348.4
2.52	2.44	1724636993286	1131.9	363.5	1164.7	347.7
2.52	2.44	1724636993297	1131.1	364.3	1164.0	348.3
2.52	2.44	1724636993307	1132.9	365.4	1164.9	349.3
2.51	2.45	1724636993320	1134.1	365.1	1166.0	349.2
2.52	2.45	1724636993330	1134.5	368.1	1166.3	352.2
2.52	2.45	1724636993342	1133.3	369.1	1165.5	351.7
2.53	2.45	1724636993353	1134.4	365.6	1165.2	354.7
2.52	2.46	1724636993363	1132.4	364.1	1164.9	354.3
2.52	2.46	1724636993375	1131.8	365.1	1164.9	353.9
2.52	2.46	1724636993387	1130.2	369.5	1165.8	354.3
2.53	2.47	1724636993397	1135.0	380.4	1168.7	365.3
2.54	2.48	1724636993408	1140.1	411.1	1174.1	392.9
2.53	2.47	1724636993419	1140.0	469.7	1167.9	459.1
2.53	2.46	1724636993430	1142.9	525.7	1166.5	530.1
2.52	2.46	1724636993442	1140.3	556.1	1161.5	555.1
2.53	2.46	1724636993453	1135.0	569.5	1163.1	567.6
2.52	2.45	1724636993464	1136.5	567.8	1161.7	565.3
