LeftPupilSize	RightPupilSize	SystemTimeStamp	L_X	L_Y	R_X	R_Y
2.98	3.02	1724662158784	1097.8	495.1	1066.4	482.9
2.98	3.02	1724662158795	1097.6	492.4	1067.3	483.6
2.98	3.03	1724662158806	1098.4	492.4	1067.4	483.1
2.99	3.03	1724662158818	1099.2	491.7	1068.7	483.5
3.0	3.04	1724662158829	1100.4	492.4	1068.9	480.8
3.0	3.05	1724662158839	1099.4	490.4	1068.5	479.7
3.0	3.06	1724662158850	1097.5	490.3	1067.5	479.9
3.01	3.06	1724662158862	1095.8	491.9	1065.0	479.2
3.02	3.06	1724662158872	1096.8	494.1	1063.6	479.3
3.03	3.07	1724662158887	1097.1	494.6	1063.0	478.2
3.03	3.08	1724662158896	1095.5	496.1	1060.8	479.7
3.04	3.08	1724662158906	1094.3	495.8	1060.6	479.9
3.05	3.1	1724662158917	1095.7	497.3	1060.8	478.7
3.06	3.11	1724662158929	1097.3	496.6	1063.2	475.8
3.06	3.12	1724662158939	1096.8	496.6	1064.8	475.4
3.07	3.13	1724662158951	1099.2	493.2	1065.2	471.6
3.07	3.14	1724662158962	1097.9	490.8	1065.5	471.1
3.08	3.14	1724662158972	1099.2	488.5	1065.3	471.1
3.1	3.15	1724662158983	1102.2	479.8	1078.0	470.8
3.11	3.16	1724662158995	1136.5	462.9	1117.2	467.9
3.13	3.17	1724662159006	1178.7	446.1	1159.6	457.8
3.15	3.18	1724662159017	1240.1	422.8	1224.3	433.5
3.18	3.2	1724662159029	1275.4	413.4	1259.8	411.4
3.2	3.21	1724662159039	1287.6	409.9	1266.1	403.3
3.21	3.22	1724662159050	1286.3	411.3	1262.3	401.5
3.22	3.22	1724662159062	1285.6	412.9	1259.8	401.7
3.22	3.23	1724662159072	1283.9	415.3	1258.5	400.9
3.23	3.24	1724662159083	1285.9	415.4	1255.7	402.7
3.24	3.25	1724662159095	1282.8	414.1	1256.1	403.8
3.25	3.25	1724662159106	1281.7	415.2	1254.9	403.3
3.25	3.26	1724662159117	1278.4	414.6	1254.1	402.2
3.26	3.27	1724662159128	1275.9	415.9	1250.5	403.9
3.27	3.27	1724662159139	1273.6	416.1	1249.8	403.2
3.28	3.28	1724662159150	1269.6	415.4	1247.2	406.3
3.3	3.29	1724662159161	1269.0	417.4	1242.5	405.3
3.31	3.3	1724662159173	1266.8	416.8	1239.5	405.6
3.32	3.31	1724662159184	1264.1	416.7	1235.6	404.9
3.33	3.31	1724662159195	1262.5	415.5	1232.8	404.7
3.34	3.32	1724662159206	1260.2	414.4	1231.4	405.4
3.35	3.32	1724662159216	1257.3	414.2	1230.5	404.2
3.35	3.33	1724662159229	1254.7	414.6	1229.5	404.8
3.36	3.34	1724662159239	1253.1	415.5	1226.9	404.5
3.37	3.35	1724662159251	1251.8	414.2	1224.4	404.7
3.38	3.35	1724662159261	1250.2	414.2	1222.3	405.9
3.38	3.36	1724662159272	1247.6	416.0	1221.1	406.3
3.39	3.38	1724662159284	1240.3	412.0	1209.5	395.4
3.4	3.39	1724662159295	1217.4	393.0	1185.9	377.3
3.41	3.41	1724662159305	1205.9	370.1	1175.9	365.7
3.43	3.42	1724662159317	1198.8	363.1	1171.1	360.3
3.43	3.43	1724662159328	1206.1	366.8	1174.6	360.5
3.44	3.44	1724662159339	1203.3	368.9	1170.7	359.1
3.45	3.45	1724662159350	1199.6	365.4	1166.1	360.1
3.46	3.45	1724662159362	1196.3	359.5	1164.4	364.1
3.47	3.45	1724662159372	1193.0	361.7	1162.3	365.1
3.47	3.46	1724662159384	1187.8	366.8	1159.6	365.9
3.47	3.47	1724662159395	1181.8	370.2	1156.8	366.5
3.48	3.48	1724662159405	1178.5	372.3	1155.3	367.6
3.48	3.48	1724662159417	1177.5	373.4	1155.2	369.1
3.49	3.49	1724662159428	1177.0	377.7	1155.5	368.7
3.5	3.49	1724662159439	1172.4	378.3	1152.1	369.9
3.52	3.5	1724662159451	1168.1	377.0	1146.5	372.6
3.53	3.51	1724662159461	1164.6	375.5	1140.0	373.5
3.53	3.52	1724662159472	1160.9	376.0	1136.1	377.1
3.52	3.53	1724662159484	1154.1	381.4	1131.1	377.4
3.53	3.54	1724662159495	1143.0	384.4	1127.0	375.8
3.53	3.54	1724662159505	1139.0	388.5	1124.7	377.5
3.55	3.55	1724662159516	1133.5	395.1	1113.4	386.5
3.58	3.57	1724662159529	1097.3	438.4	1073.5	418.0
3.59	3.58	1724662159539	1051.3	498.2	1024.5	466.4
3.59	3.59	1724662159551	998.7	562.8	978.9	535.7
3.59	3.6	1724662159562	981.1	591.4	966.8	577.9
3.59	3.6	1724662159572	971.3	597.9	963.8	595.9
3.59	3.6	1724662159584	967.2	597.2	965.1	594.4
3.59	3.6	1724662159595	964.2	601.7	964.8	597.2
3.6	3.6	1724662159606	962.3	605.4	963.6	597.7
3.6	3.61	1724662159617	967.2	608.1	962.7	599.1
3.61	3.61	1724662159628	965.8	604.2	960.2	598.5
3.62	3.62	1724662159638	967.0	607.0	960.9	602.1
3.63	3.64	1724662159650	964.9	604.7	959.9	600.7
3.64	3.64	1724662159662	965.9	609.8	958.3	599.7
3.64	3.65	1724662159672	964.5	610.0	957.2	597.5
3.65	3.64	1724662159684	963.3	608.6	956.8	598.4
3.65	3.65	1724662159695	963.5	607.1	955.7	599.4
3.66	3.66	1724662159705	963.1	605.5	954.9	600.9
3.67	3.67	1724662159716	963.0	608.1	953.8	599.7
3.67	3.67	1724662159729	963.2	607.1	953.7	600.2
3.68	3.68	1724662159738	963.6	606.5	953.7	600.6
3.69	3.69	1724662159750	965.8	607.9	953.3	605.3
3.69	3.69	1724662159762	966.4	605.8	952.0	608.5
3.7	3.7	1724662159772	966.4	607.2	951.3	608.5
3.7	3.7	1724662159783	965.7	605.5	950.9	608.9
3.71	3.71	1724662159795	967.6	609.7	949.9	612.6
3.71	3.72	1724662159805	968.3	609.0	948.7	613.4
3.72	3.73	1724662159817	972.3	611.2	957.0	611.6
3.73	3.74	1724662159828	1003.7	596.6	998.1	601.5
3.75	3.76	1724662159838	1055.6	573.4	1060.0	584.3
3.76	3.77	1724662159850	1134.1	532.7	1145.7	551.3
3.77	3.77	1724662159862	1194.6	509.1	1200.5	523.6
3.78	3.76	1724662159872	1232.7	490.4	1231.9	501.1
3.79	3.75	1724662159883	1239.3	493.1	1232.7	494.8
3.79	3.75	1724662159895	1237.7	492.5	1230.8	490.2
3.78	3.74	1724662159904	1237.6	494.1	1230.7	491.1
3.78	3.74	1724662159917	1238.6	495.0	1230.7	488.9
3.78	3.74	1724662159928	1234.1	494.2	1230.1	486.4
3.78	3.74	1724662159938	1233.5	494.0	1229.5	488.0
3.78	3.73	1724662159950	1236.7	493.4	1229.8	485.3
3.78	3.73	1724662159961	1236.0	492.0	1228.9	485.9
3.78	3.72	1724662159972	1239.2	490.7	1228.4	484.8
3.78	3.71	1724662159983	1242.6	487.6	1227.4	486.0
3.78	3.7	1724662159994	1248.0	485.4	1228.6	486.1
3.77	3.69	1724662160005	1249.3	485.5	1229.6	484.4
3.77	3.69	1724662160017	1249.2	485.0	1229.9	482.7
3.77	3.68	1724662160028	1253.1	482.6	1229.8	481.1
3.77	3.67	1724662160038	1253.9	483.2	1229.4	481.3
3.76	3.66	1724662160050	1252.1	481.7	1228.9	481.5
3.76	3.65	1724662160061	1253.4	484.5	1228.7	481.5
3.74	3.64	1724662160072	1253.9	483.4	1229.7	480.6
3.74	3.63	1724662160083	1249.3	484.9	1229.1	483.5
3.73	3.62	1724662160094	1243.6	485.0	1232.0	484.6
3.73	3.62	1724662160105	1225.8	488.8	1218.4	485.2
3.71	3.62	1724662160117	1180.4	506.3	1178.1	494.1
3.71	3.61	1724662160128	1134.7	522.5	1134.9	506.4
3.7	3.61	1724662160138	1108.2	541.6	1107.0	522.9
3.69	3.6	1724662160150	1114.3	541.5	1101.9	529.9
3.69	3.6	1724662160161	1115.1	546.8	1095.7	536.7
3.68	3.59	1724662160171	1112.3	543.9	1091.9	534.8
3.68	3.59	1724662160184	1111.9	547.8	1090.5	533.3
3.67	3.58	1724662160195	1112.8	552.7	1089.0	531.5
3.68	3.58	1724662160205	1114.3	551.5	1089.2	532.2
3.68	3.58	1724662160217	1114.3	549.9	1088.2	533.6
3.68	3.57	1724662160228	1114.0	546.6	1091.3	532.1
3.68	3.58	1724662160238	1114.1	547.2	1091.8	530.4
3.68	3.58	1724662160250	1111.1	543.2	1096.5	529.5
3.67	3.58	1724662160266	1114.0	539.0	1098.4	527.6
3.68	3.58	1724662160271	1112.1	540.9	1098.4	526.9
3.67	3.59	1724662160283	1111.1	539.1	1092.8	528.7
3.67	3.59	1724662160294	1109.4	540.8	1085.2	530.8
3.67	3.59	1724662160305	1110.7	541.1	1082.9	530.8
3.68	3.58	1724662160317	1110.3	543.1	1082.6	529.0
3.68	3.58	1724662160328	1112.2	540.6	1087.5	527.9
3.68	3.59	1724662160338	1113.1	537.4	1088.3	527.8
3.68	3.59	1724662160350	1112.8	536.5	1090.3	527.9
3.68	3.6	1724662160361	1110.9	538.3	1087.3	527.9
3.68	3.6	1724662160372	1108.8	541.0	1087.1	528.7
3.68	3.59	1724662160383	1106.6	541.6	1084.9	529.5
3.67	3.58	1724662160394	1105.9	540.4	1086.7	528.7
3.66	3.57	1724662160405	1105.4	538.1	1086.6	527.6
3.65	3.56	1724662160417	1105.7	538.8	1089.7	526.3
3.62	3.54	1724662160427	1105.6	540.1	1090.7	527.3
3.6	3.53	1724662160438	1105.9	540.5	1089.7	529.6
3.58	3.51	1724662160450	1109.6	539.3	1089.5	529.5
3.55	3.49	1724662160461	1107.1	537.6	1089.7	530.4
3.52	3.46	1724662160471	1107.7	537.3	1091.2	530.5
3.49	3.44	1724662160483	1108.1	539.2	1089.6	533.9
3.46	3.42	1724662160495	1112.8	535.4	1086.5	533.7
3.45	3.4	1724662160504	1113.7	535.3	1085.5	532.5
3.42	3.38	1724662160516	1115.1	532.2	1083.0	531.5
3.39	3.35	1724662160528	1114.0	529.9	1086.7	533.5
3.36	3.33	1724662160538	1114.5	527.2	1087.0	533.4
3.34	3.31	1724662160549	1111.6	527.3	1093.4	530.8
3.31	3.29	1724662160561	1112.7	531.9	1092.8	523.9
3.29	3.27	1724662160571	1113.4	528.6	1093.4	523.7
3.27	3.26	1724662160582	1114.7	527.9	1088.3	521.8
3.24	3.24	1724662160594	1117.5	526.3	1082.6	523.7
3.23	3.22	1724662160604	1116.0	528.3	1081.6	522.2
3.2	3.2	1724662160616	1112.0	526.1	1082.2	520.5
3.18	3.18	1724662160628	1107.5	525.6	1085.5	515.9
3.17	3.17	1724662160637	1105.0	527.1	1085.7	516.8
3.16	3.16	1724662160649	1107.7	531.7	1085.1	515.7
3.14	3.15	1724662160661	1104.3	534.2	1082.0	516.8
3.12	3.14	1724662160671	1105.7	533.8	1081.0	516.4
3.11	3.13	1724662160682	1106.1	527.9	1087.7	525.9
2.76	2.93	1724662160693	1155.2	621.1	1143.4	558.3
2.65	2.88	1724662160703	1168.0	656.7	1165.0	569.6
2.14	2.59	1724662160715	1238.9	789.0	1251.7	606.9
2.75	2.97	1724662160815	1036.2	612.3	1110.8	548.6
2.89	3.04	1724662160827	1089.1	553.7	1098.0	518.0
2.9	3.03	1724662160837	1103.2	545.0	1097.5	516.8
3.01	3.04	1724662160849	1124.8	519.2	1096.9	516.2
2.99	3.03	1724662160860	1121.3	521.5	1101.6	516.4
2.99	3.03	1724662160871	1120.8	521.9	1102.3	517.2
2.99	3.03	1724662160882	1121.2	518.1	1102.7	517.9
3.0	3.04	1724662160894	1119.0	522.0	1098.6	517.7
3.0	3.03	1724662160904	1116.8	522.5	1096.8	518.8
3.0	3.03	1724662160916	1117.4	528.7	1094.0	518.9
2.95	2.96	1724662162836	1289.1	505.6	1258.4	499.5
2.95	2.97	1724662162847	1289.1	505.1	1260.1	495.2
2.96	2.98	1724662162859	1291.0	502.5	1261.6	493.0
2.97	2.99	1724662162869	1291.8	503.2	1261.5	488.9
2.99	3.0	1724662162881	1294.4	501.4	1257.9	492.9
3.0	3.01	1724662162893	1295.9	498.8	1252.5	496.3
3.0	3.02	1724662162903	1293.5	498.9	1249.6	497.1
3.02	3.04	1724662162914	1295.9	496.3	1248.9	494.7
3.04	3.05	1724662162925	1293.6	500.1	1251.6	491.4
3.05	3.06	1724662162936	1294.2	498.0	1254.1	491.6
3.05	3.06	1724662162947	1284.5	530.8	1254.3	511.8
3.05	2.83	1724662162959	1281.1	553.0	1263.0	570.2
3.1	2.77	1724662162967	1266.0	595.3	1267.9	595.9
1.42	1.52	1724662163025	1257.9	1042.4	738.1	987.8
1.42	2.17	1724662163035	1257.9	1042.4	854.5	877.5
2.14	3.23	1724662163048	1039.6	840.8	989.5	645.8
2.98	3.24	1724662163059	953.9	659.0	988.0	641.1
3.03	3.28	1724662163069	979.6	642.3	984.5	606.5
3.21	3.23	1724662163081	1019.7	631.3	970.8	619.7
3.23	3.24	1724662163092	1021.3	628.7	969.0	613.8
3.25	3.25	1724662163102	1021.4	630.0	968.3	617.2
3.27	3.26	1724662163114	1021.9	625.5	967.6	615.8
3.29	3.28	1724662163126	1019.3	623.1	963.4	615.4
3.29	3.28	1724662163136	1017.4	622.3	964.0	616.1
3.3	3.29	1724662163148	1015.0	618.5	963.7	614.1
3.31	3.3	1724662163159	1013.9	619.6	966.6	613.0
3.32	3.31	1724662163169	1013.7	620.1	965.0	613.0
